comments,rank,score,age,title_length
3.0,1.0,29,0.45,44
1.0,2.0,12,1.0,47
35.0,3.0,157,8.0,12
22.0,4.0,73,4.0,38
51.0,5.0,198,11.0,51
85.0,6.0,96,3.0,56
13.0,7.0,69,2.0,65
17.0,8.0,68,3.0,42
2.0,9.0,12,3.0,25
4.0,10.0,24,5.0,39
20.0,11.0,108,13.0,47
NA,12.0,25,8.0,42
NA,13.0,5,4.0,71
31.0,14.0,62,10.0,12
2.0,15.0,41,10.0,67
38.0,16.0,557,20.0,26
15.0,17.0,48,5.0,79
5.0,18.0,20,6.0,60
13.0,19.0,82,6.0,73
91.0,20.0,97,11.0,30
7.0,21.0,55,14.0,14
15.0,22.0,83,14.0,67
61.0,23.0,378,22.0,66
56.0,24.0,64,8.0,42
NA,25.0,14,2.0,35
37.0,26.0,165,16.0,62
NA,27.0,29,13.0,40
158.0,28.0,368,NA,75
1.0,29.0,11,9.0,32
29.0,30.0,42,5.0,17
5.0,31.0,25,4.0,42
NA,32.0,31,18.0,56
2.0,33.0,8,10.0,35
142.0,34.0,187,20.0,71
NA,35.0,9,0.7666666666666667,79
5.0,36.0,25,11.0,24
563.0,37.0,694,48.0,43
35.0,38.0,113,17.0,38
14.0,39.0,38,11.0,63
29.0,40.0,38,16.0,40
32.0,41.0,71,13.0,37
77.0,42.0,217,1.0,26
14.0,43.0,36,21.0,40
247.0,44.0,397,1.0,41
244.0,45.0,284,1.0,54
11.0,46.0,38,20.0,58
26.0,47.0,392,1.0,33
NA,48.0,3,3.0,70
43.0,49.0,132,1.0,52
3.0,50.0,38,22.0,40
79.0,51.0,243,13.0,34
85.0,52.0,132,1.0,62
72.0,53.0,57,17.0,67
184.0,54.0,281,18.0,76
83.0,55.0,130,16.0,29
75.0,56.0,573,48.0,46
NA,57.0,0,9.0,61
15.0,58.0,82,18.0,36
17.0,59.0,64,18.0,20
71.0,60.0,273,1.0,31
93.0,61.0,154,1.0,77
74.0,62.0,170,1.0,17
69.0,63.0,199,1.0,66
69.0,64.0,72,20.0,26
NA,65.0,9,5.0,80
96.0,66.0,287,1.0,69
283.0,67.0,796,22.0,35
15.0,68.0,57,18.0,67
13.0,69.0,76,1.0,27
84.0,70.0,270,1.0,25
43.0,71.0,67,1.0,30
9.0,72.0,138,1.0,42
37.0,73.0,92,14.0,58
315.0,74.0,570,72.0,60
16.0,75.0,51,1.0,65
1.0,76.0,17,10.0,43
1.0,77.0,31,1.0,14
35.0,78.0,61,1.0,77
40.0,79.0,98,1.0,59
88.0,80.0,403,48.0,58
31.0,81.0,91,1.0,80
14.0,82.0,80,1.0,73
9.0,83.0,39,1.0,17
18.0,84.0,72,1.0,65
32.0,85.0,74,22.0,61
32.0,86.0,67,1.0,50
74.0,87.0,300,1.0,75
22.0,88.0,56,1.0,68
107.0,89.0,168,48.0,76
50.0,90.0,212,1.0,32
7.0,91.0,56,1.0,37
27.0,92.0,215,1.0,73
1.0,93.0,7,17.0,25
40.0,94.0,162,1.0,48
26.0,95.0,38,NA,60
10.0,96.0,77,1.0,14
62.0,97.0,131,1.0,21
19.0,98.0,159,1.0,46
14.0,99.0,33,1.0,47
345.0,100.0,631,NA,78
12.0,101.0,132,1.0,36
12.0,102.0,60,48.0,66
168.0,103.0,178,48.0,69
NA,104.0,5,NA,52
220.0,105.0,425,72.0,22
19.0,106.0,21,1.0,55
148.0,107.0,237,1.0,80
440.0,108.0,635,72.0,52
302.0,109.0,476,72.0,75
2.0,110.0,49,1.0,23
13.0,111.0,52,1.0,19
10.0,112.0,71,1.0,44
NA,113.0,5,8.0,73
5.0,114.0,32,1.0,42
76.0,115.0,309,48.0,55
9.0,116.0,62,1.0,71
22.0,117.0,142,48.0,25
24.0,118.0,82,1.0,74
5.0,119.0,14,1.0,68
NA,120.0,3,16.0,79
2.0,121.0,10,1.0,56
11.0,122.0,67,1.0,75
142.0,123.0,114,1.0,53
13.0,124.0,133,48.0,51
135.0,125.0,326,1.0,78
3.0,126.0,22,1.0,39
124.0,127.0,88,1.0,44
205.0,128.0,109,1.0,46
36.0,129.0,83,1.0,30
154.0,130.0,197,1.0,67
117.0,131.0,382,72.0,16
58.0,132.0,91,1.0,37
110.0,133.0,237,48.0,61
46.0,134.0,107,1.0,79
291.0,135.0,422,48.0,72
21.0,136.0,68,1.0,75
13.0,137.0,47,1.0,80
217.0,138.0,275,1.0,34
55.0,139.0,157,1.0,74
1.0,140.0,22,20.0,69
3.0,141.0,55,1.0,41
69.0,142.0,88,1.0,41
13.0,143.0,74,1.0,59
40.0,144.0,168,48.0,47
9.0,145.0,29,1.0,42
9.0,146.0,68,1.0,59
158.0,147.0,112,1.0,39
4.0,148.0,24,1.0,39
34.0,149.0,179,48.0,80
90.0,150.0,41,1.0,41
